"Damage","Displacement:0","Displacement:1","Displacement:2","F33","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.64,0.00025829,0.095862,0,0.97043,-0.1264,0.0041377,-0.0012041,0,0.00031833,0.019316,0,0,0,0,1,0.1326,0.1326,0.54,0
0.64,0.00023454,0.095866,0,0.97035,-0.12677,0.0041377,-0.0012041,0,0.00031833,0.019316,0,0,0,0,1,0.13515,0.13515,0.54,0
0.64,0.0002108,0.09587,0,0.97028,-0.12715,0.0041377,-0.0012041,0,0.00031833,0.019316,0,0,0,0,1,0.1377,0.1377,0.54,0
0.64,0.00018706,0.095874,0,0.97021,-0.12752,0.0041377,-0.0012041,0,0.00031833,0.019316,0,0,0,0,1,0.14025,0.14025,0.54,0
0.64,0.00016331,0.095878,0,0.97013,-0.12789,0.0041377,-0.0012041,0,0.00031833,0.019316,0,0,0,0,1,0.1428,0.1428,0.54,0
0.64,0.00013957,0.095882,0,0.97006,-0.12827,0.0041377,-0.0012041,0,0.00031833,0.019316,0,0,0,0,1,0.14535,0.14535,0.54,0
0.64,0.00011583,0.095886,0,0.96999,-0.12864,0.0041377,-0.0012041,0,0.00031833,0.019316,0,0,0,0,1,0.1479,0.1479,0.54,0
0.64,9.2593e-05,0.09589,0,0.96992,-0.12899,0.00463,-0.00085827,0,0.00019464,0.019347,0,0,0,0,1,0.15045,0.15045,0.54,0
0.64,7.1738e-05,0.095893,0,0.96987,-0.12925,0.00463,-0.00085827,0,0.00019464,0.019347,0,0,0,0,1,0.153,0.153,0.54,0
0.64,5.0883e-05,0.095896,0,0.96982,-0.1295,0.00463,-0.00085827,0,0.00019464,0.019347,0,0,0,0,1,0.15555,0.15555,0.54,0
0.64,3.0028e-05,0.095899,0,0.96977,-0.12976,0.00463,-0.00085827,0,0.00019464,0.019347,0,0,0,0,1,0.1581,0.1581,0.54,0
0.64,9.1725e-06,0.095902,0,0.96972,-0.13002,0.00463,-0.00085827,0,0.00019464,0.019347,0,0,0,0,1,0.16065,0.16065,0.54,0
0.64,-1.1683e-05,0.095905,0,0.96966,-0.13027,0.00463,-0.00085827,0,0.00019464,0.019347,0,0,0,0,1,0.1632,0.1632,0.54,0
0.64,-3.2538e-05,0.095908,0,0.96961,-0.13053,0.00463,-0.00085827,0,0.00019464,0.019347,0,0,0,0,1,0.16575,0.16575,0.54,0
0.64,-5.3393e-05,0.095911,0,0.96956,-0.13078,0.00463,-0.00085827,0,0.00019464,0.019347,0,0,0,0,1,0.1683,0.1683,0.54,0
0.64,-7.4248e-05,0.095914,0,0.96951,-0.13104,0.00463,-0.00085827,0,0.00019464,0.019347,0,0,0,0,1,0.17085,0.17085,0.54,0
0.64,-9.5103e-05,0.095917,0,0.96946,-0.13129,0.00463,-0.00085827,0,0.00019464,0.019347,0,0,0,0,1,0.1734,0.1734,0.54,0
0.64,-0.00011515,0.09592,0,0.96942,-0.13153,0.005002,-0.00061999,0,0.00010354,0.019366,0,0,0,0,1,0.17595,0.17595,0.54,0
0.64,-0.00013383,0.095922,0,0.96938,-0.13172,0.005002,-0.00061999,0,0.00010354,0.019366,0,0,0,0,1,0.1785,0.1785,0.54,0
0.64,-0.00015251,0.095924,0,0.96934,-0.13192,0.005002,-0.00061999,0,0.00010354,0.019366,0,0,0,0,1,0.18105,0.18105,0.54,0
0.64,-0.00017119,0.095926,0,0.9693,-0.13211,0.005002,-0.00061999,0,0.00010354,0.019366,0,0,0,0,1,0.1836,0.1836,0.54,0
0.64,-0.00018987,0.095928,0,0.96926,-0.13231,0.005002,-0.00061999,0,0.00010354,0.019366,0,0,0,0,1,0.18615,0.18615,0.54,0
0.64,-0.00020855,0.095931,0,0.96922,-0.13251,0.005002,-0.00061999,0,0.00010354,0.019366,0,0,0,0,1,0.1887,0.1887,0.54,0
0.64,-0.00022724,0.095933,0,0.96918,-0.1327,0.005002,-0.00061999,0,0.00010354,0.019366,0,0,0,0,1,0.19125,0.19125,0.54,0
0.64,-0.00024592,0.095935,0,0.96914,-0.1329,0.005002,-0.00061999,0,0.00010354,0.019366,0,0,0,0,1,0.1938,0.1938,0.54,0
