"Damage","Displacement:0","Displacement:1","Displacement:2","F33","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.64,-0.0024906,0.096992,0,0.98703,-0.027304,0.0023888,0.00027641,0,-0.0012469,0.017443,0,0,0,0,1,0.25245,0.25245,0.54,0
0.64,-0.0024996,0.096992,0,0.98703,-0.027308,0.0023888,0.00027641,0,-0.0012469,0.017443,0,0,0,0,1,0.255,0.255,0.54,0
0.64,-0.0025085,0.096992,0,0.98703,-0.027311,0.0023888,0.00027641,0,-0.0012469,0.017443,0,0,0,0,1,0.25755,0.25755,0.54,0
0.64,-0.0025175,0.096992,0,0.98702,-0.027315,0.0023888,0.00027641,0,-0.0012469,0.017443,0,0,0,0,1,0.2601,0.2601,0.54,0
0.64,-0.0025264,0.096992,0,0.98702,-0.027319,0.0023888,0.00027641,0,-0.0012469,0.017443,0,0,0,0,1,0.26265,0.26265,0.54,0
0.64,-0.0025354,0.096992,0,0.98702,-0.027322,0.0023888,0.00027641,0,-0.0012469,0.017443,0,0,0,0,1,0.2652,0.2652,0.54,0
0.64,-0.0025443,0.096992,0,0.98702,-0.027326,0.0023888,0.00027641,0,-0.0012469,0.017443,0,0,0,0,1,0.26775,0.26775,0.54,0
0.64,-0.0025533,0.096992,0,0.98702,-0.02733,0.0023888,0.00027641,0,-0.0012469,0.017443,0,0,0,0,1,0.2703,0.2703,0.54,0
0.64,-0.0025622,0.096992,0,0.98702,-0.027334,0.0023888,0.00027641,0,-0.0012469,0.017443,0,0,0,0,1,0.27285,0.27285,0.54,0
0.64,-0.0025711,0.096992,0,0.98702,-0.027337,0.0024549,0.00022354,0,-0.001275,0.017434,0,0,0,0,1,0.2754,0.2754,0.54,0
0.64,-0.0025799,0.096991,0,0.98701,-0.027341,0.0024549,0.00022354,0,-0.001275,0.017434,0,0,0,0,1,0.27795,0.27795,0.54,0
0.64,-0.0025887,0.096991,0,0.98701,-0.027344,0.0024549,0.00022354,0,-0.001275,0.017434,0,0,0,0,1,0.2805,0.2805,0.54,0
0.64,-0.0025975,0.096991,0,0.98701,-0.027348,0.0024549,0.00022354,0,-0.001275,0.017434,0,0,0,0,1,0.28305,0.28305,0.54,0
0.64,-0.0026063,0.096991,0,0.98701,-0.027351,0.0024549,0.00022354,0,-0.001275,0.017434,0,0,0,0,1,0.2856,0.2856,0.54,0
