"Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.034869,0.10079,0,0.99997,1,-5.2368e-05,7.3993e-05,1.1113e-05,0,1.1092e-05,-4.9988e-06,0,0,0,0,1,0.1275,-2.3725,0,0
0.034869,0.10079,0,0.99997,1,-5.2137e-05,7.3993e-05,1.1113e-05,0,1.1092e-05,-4.9988e-06,0,0,0,0,1,0.13,-2.37,0,0
0.034869,0.10079,0,0.99997,1,-5.1906e-05,7.3993e-05,1.1113e-05,0,1.1092e-05,-4.9988e-06,0,0,0,0,1,0.1325,-2.3675,0,0
0.03487,0.10079,0,0.99997,1,-5.1676e-05,7.3993e-05,1.1113e-05,0,1.1092e-05,-4.9988e-06,0,0,0,0,1,0.135,-2.365,0,0
0.03487,0.10078,0,0.99997,1,-5.1445e-05,7.3993e-05,1.1113e-05,0,1.1092e-05,-4.9988e-06,0,0,0,0,1,0.1375,-2.3625,0,0
0.03487,0.10078,0,0.99997,1,-5.1214e-05,7.3993e-05,1.1113e-05,0,1.1092e-05,-4.9988e-06,0,0,0,0,1,0.14,-2.36,0,0
0.03487,0.10078,0,0.99997,1,-5.0984e-05,7.3993e-05,1.1113e-05,0,1.1092e-05,-4.9988e-06,0,0,0,0,1,0.1425,-2.3575,0,0
0.03487,0.10078,0,0.99997,1,-5.0753e-05,7.3993e-05,1.1113e-05,0,1.1092e-05,-4.9988e-06,0,0,0,0,1,0.145,-2.355,0,0
0.03487,0.10078,0,0.99997,1,-5.0522e-05,7.3993e-05,1.1113e-05,0,1.1092e-05,-4.9988e-06,0,0,0,0,1,0.1475,-2.3525,0,0
0.03487,0.10078,0,0.99997,1,-5.0291e-05,-2.3517e-05,4.1747e-05,0,4.1757e-05,-1.4879e-05,0,0,0,0,1,0.15,-2.35,0,0
0.03487,0.10078,0,0.99998,1,-4.9229e-05,4.0956e-05,2.3525e-05,0,2.3516e-05,-5.2346e-06,0,0,0,0,1,0.1525,-2.3475,0,0
0.034871,0.10078,0,0.99998,1,-4.8167e-05,4.0956e-05,2.3525e-05,0,2.3516e-05,-5.2346e-06,0,0,0,0,1,0.155,-2.345,0,0
0.034871,0.10078,0,0.99998,1,-4.7105e-05,4.0956e-05,2.3525e-05,0,2.3516e-05,-5.2346e-06,0,0,0,0,1,0.1575,-2.3425,0,0
0.034871,0.10078,0,0.99998,1,-4.6043e-05,4.0956e-05,2.3525e-05,0,2.3516e-05,-5.2346e-06,0,0,0,0,1,0.16,-2.34,0,0
0.034871,0.10078,0,0.99998,1,-4.498e-05,4.0956e-05,2.3525e-05,0,2.3516e-05,-5.2346e-06,0,0,0,0,1,0.1625,-2.3375,0,0
0.034871,0.10078,0,0.99998,1,-4.3918e-05,4.0956e-05,2.3525e-05,0,2.3516e-05,-5.2346e-06,0,0,0,0,1,0.165,-2.335,0,0
0.034871,0.10078,0,0.99998,1,-4.2856e-05,4.0956e-05,2.3525e-05,0,2.3516e-05,-5.2346e-06,0,0,0,0,1,0.1675,-2.3325,0,0
0.034871,0.10078,0,0.99998,1,-4.1794e-05,4.0956e-05,2.3525e-05,0,2.3516e-05,-5.2346e-06,0,0,0,0,1,0.17,-2.33,0,0
0.034871,0.10078,0,0.99998,1,-4.0732e-05,4.0956e-05,2.3525e-05,0,2.3516e-05,-5.2346e-06,0,0,0,0,1,0.1725,-2.3275,0,0
0.034871,0.10077,0,0.99998,1,-3.9669e-05,-8.0322e-05,6.611e-05,0,6.613e-05,-1.5293e-05,0,0,0,0,1,0.175,-2.325,0,0
0.034872,0.10077,0,0.99998,1,-3.7752e-05,-1.5066e-05,3.6342e-05,0,3.6346e-05,-5.313e-06,0,0,0,0,1,0.1775,-2.3225,0,0
0.034872,0.10077,0,0.99998,1,-3.5834e-05,-1.5066e-05,3.6342e-05,0,3.6346e-05,-5.313e-06,0,0,0,0,1,0.18,-2.32,0,0
0.034872,0.10077,0,0.99998,1,-3.3917e-05,-1.5066e-05,3.6342e-05,0,3.6346e-05,-5.313e-06,0,0,0,0,1,0.1825,-2.3175,0,0
0.034872,0.10077,0,0.99998,1,-3.1999e-05,-1.5066e-05,3.6342e-05,0,3.6346e-05,-5.313e-06,0,0,0,0,1,0.185,-2.315,0,0
0.034872,0.10077,0,0.99998,1,-3.0081e-05,-1.5066e-05,3.6342e-05,0,3.6346e-05,-5.313e-06,0,0,0,0,1,0.1875,-2.3125,0,0
